ID,Timezone,DST Diff,DST Rule,OS Time Zone,Name
30000,0,1,0,Africa/Abidjan,ABIDJAN
30001,0,1,0,Africa/Accra,ACCRA
30002,3,1,0,Africa/Addis_Ababa,ADDIS ABABA
30003,1,1,0,Africa/Algiers,ALGIERS
30004,3,1,0,Africa/Asmara,ASMARA
30005,3,1,0,Africa/Asmera,ASMERA
30006,0,1,0,Africa/Bamako,BAMAKO
30007,1,1,0,Africa/Bangui,BANGUI
30008,0,1,0,Africa/Banjul,BANJUL
30009,0,1,0,Africa/Bissau,BISSAU
30010,2,1,0,Africa/Blantyre,BLANTYRE
30011,1,1,0,Africa/Brazzaville,BRAZZAVILLE
30012,2,1,0,Africa/Bujumbura,BUJUMBURA
30013,2,1,22,Africa/Cairo,CAIRO
30014,0,1,15,Africa/Casablanca,CASABLANCA
30015,1,1,2,Africa/Ceuta,CEUTA
30016,0,1,0,Africa/Conakry,CONAKRY
30017,0,1,0,Africa/Dakar,DAKAR
30018,3,1,0,Africa/Dar_es_Salaam,DAR ES SALAAM
30019,3,1,0,Africa/Djibouti,DJIBOUTI
30020,1,1,0,Africa/Douala,DOUALA
30021,0,1,15,Africa/El_Aaiun,EL AAIUN
30022,0,1,0,Africa/Freetown,FREETOWN
30023,2,1,0,Africa/Gaborone,GABORONE
30024,2,1,0,Africa/Harare,HARARE
30025,2,1,0,Africa/Johannesburg,JOHANNESBURG
30026,3,1,0,Africa/Juba,JUBA
30027,3,1,0,Africa/Kampala,KAMPALA
30028,2,1,0,Africa/Khartoum,KHARTOUM
30029,2,1,0,Africa/Kigali,KIGALI
30030,1,1,0,Africa/Kinshasa,KINSHASA
30031,1,1,0,Africa/Lagos,LAGOS
30032,1,1,0,Africa/Libreville,LIBREVILLE
30033,0,1,0,Africa/Lome,LOME
30034,1,1,0,Africa/Luanda,LUANDA
30035,2,1,0,Africa/Lubumbashi,LUBUMBASHI
30036,2,1,0,Africa/Lusaka,LUSAKA
30037,1,1,0,Africa/Malabo,MALABO
30038,2,1,0,Africa/Maputo,MAPUTO
30039,2,1,0,Africa/Maseru,MASERU
30040,2,1,0,Africa/Mbabane,MBABANE
30041,3,1,0,Africa/Mogadishu,MOGADISHU
30042,0,1,0,Africa/Monrovia,MONROVIA
30043,3,1,0,Africa/Nairobi,NAIROBI
30044,1,1,0,Africa/Ndjamena,NDJAMENA
30045,1,1,0,Africa/Niamey,NIAMEY
30046,0,1,0,Africa/Nouakchott,NOUAKCHOTT
30047,0,1,0,Africa/Ouagadougou,OUAGADOUGOU
30048,1,1,0,Africa/Porto-Novo,PORTO-NOVO
30049,0,1,0,Africa/Sao_Tome,SAO TOME
30050,0,1,0,Africa/Timbuktu,TIMBUKTU
30051,2,1,0,Africa/Tripoli,TRIPOLI
30052,1,1,0,Africa/Tunis,TUNIS
30053,2,1,0,Africa/Windhoek,WINDHOEK
30054,-10,1,1,America/Adak,ADAK
30055,-9,1,1,America/Anchorage,ANCHORAGE
30056,-4,1,0,America/Anguilla,ANGUILLA
30057,-4,1,0,America/Antigua,ANTIGUA
30058,-3,1,0,America/Araguaina,ARAGUAINA
30059,-3,1,0,America/Argentina/Buenos_Aires,BUENOS AIRES
30060,-3,1,0,America/Argentina/Catamarca,CATAMARCA
30061,-3,1,0,America/Argentina/ComodRivadavia,COMODRIVADAVIA
30062,-3,1,0,America/Argentina/Cordoba,CORDOBA
30063,-3,1,0,America/Argentina/Jujuy,JUJUY
30064,-3,1,0,America/Argentina/La_Rioja,LA RIOJA
30065,-3,1,0,America/Argentina/Mendoza,MENDOZA
30066,-3,1,0,America/Argentina/Rio_Gallegos,RIO GALLEGOS
30067,-3,1,0,America/Argentina/Salta,SALTA
30068,-3,1,0,America/Argentina/San_Juan,SAN JUAN
30069,-3,1,0,America/Argentina/San_Luis,SAN LUIS
30070,-3,1,0,America/Argentina/Tucuman,TUCUMAN
30071,-3,1,0,America/Argentina/Ushuaia,USHUAIA
30072,-4,1,0,America/Aruba,ARUBA
30073,-4,1,9,America/Asuncion,ASUNCION
30074,-5,1,0,America/Atikokan,ATIKOKAN
30075,-10,1,1,America/Atka,ATKA
30076,-3,1,0,America/Bahia,BAHIA
30077,-6,1,0,America/Bahia_Banderas,BAHIA BANDERAS
30078,-4,1,0,America/Barbados,BARBADOS
30079,-3,1,0,America/Belem,BELEM
30080,-6,1,0,America/Belize,BELIZE
30081,-4,1,0,America/Blanc-Sablon,BLANC-SABLON
30082,-4,1,0,America/Boa_Vista,BOA VISTA
30083,-5,1,0,America/Bogota,BOGOTA
30084,-7,1,1,America/Boise,BOISE
30085,-3,1,0,America/Buenos_Aires,BUENOS AIRES
30086,-7,1,1,America/Cambridge_Bay,CAMBRIDGE BAY
30087,-4,1,0,America/Campo_Grande,CAMPO GRANDE
30088,-5,1,0,America/Cancun,CANCUN
30089,-4,1,0,America/Caracas,CARACAS
30090,-3,1,0,America/Catamarca,CATAMARCA
30091,-3,1,0,America/Cayenne,CAYENNE
30092,-5,1,0,America/Cayman,CAYMAN
30093,-6,1,1,America/Chicago,CHICAGO
30094,-6,1,0,America/Chihuahua,CHIHUAHUA
30095,-5,1,0,America/Coral_Harbour,CORAL HARBOUR
30096,-3,1,0,America/Cordoba,CORDOBA
30097,-6,1,0,America/Costa_Rica,COSTA RICA
30098,-7,1,0,America/Creston,CRESTON
30099,-4,1,0,America/Cuiaba,CUIABA
30100,-4,1,0,America/Curacao,CURACAO
30101,0,1,0,America/Danmarkshavn,DANMARKSHAVN
30102,-8,1,1,America/Dawson,DAWSON
30103,-7,1,0,America/Dawson_Creek,DAWSON CREEK
30104,-7,1,1,America/Denver,DENVER
30105,-5,1,1,America/Detroit,DETROIT
30106,-4,1,0,America/Dominica,DOMINICA
30107,-7,1,1,America/Edmonton,EDMONTON
30108,-5,1,0,America/Eirunepe,EIRUNEPE
30109,-6,1,0,America/El_Salvador,EL SALVADOR
30110,-8,1,1,America/Ensenada,ENSENADA
30111,-5,1,1,America/Fort_Wayne,FORT WAYNE
30112,-3,1,0,America/Fortaleza,FORTALEZA
30113,-4,1,1,America/Glace_Bay,GLACE BAY
30114,-2,1,31,America/Godthab,GODTHAB
30115,-4,1,1,America/Goose_Bay,GOOSE BAY
30116,-5,1,1,America/Grand_Turk,GRAND TURK
30117,-4,1,0,America/Grenada,GRENADA
30118,-4,1,0,America/Guadeloupe,GUADELOUPE
30119,-6,1,0,America/Guatemala,GUATEMALA
30120,-5,1,0,America/Guayaquil,GUAYAQUIL
30121,-4,1,0,America/Guyana,GUYANA
30122,-4,1,1,America/Halifax,HALIFAX
30123,-5,1,21,America/Havana,HAVANA
30124,-7,1,0,America/Hermosillo,HERMOSILLO
30125,-5,1,1,America/Indiana/Indianapolis,INDIANAPOLIS
30126,-6,1,1,America/Indiana/Knox,KNOX
30127,-5,1,1,America/Indiana/Marengo,MARENGO
30128,-5,1,1,America/Indiana/Petersburg,PETERSBURG
30129,-6,1,1,America/Indiana/Tell_City,TELL CITY
30130,-5,1,1,America/Indiana/Vevay,VEVAY
30131,-5,1,1,America/Indiana/Vincennes,VINCENNES
30132,-5,1,1,America/Indiana/Winamac,WINAMAC
30133,-5,1,1,America/Indianapolis,INDIANAPOLIS
30134,-7,1,1,America/Inuvik,INUVIK
30135,-5,1,1,America/Iqaluit,IQALUIT
30136,-5,1,0,America/Jamaica,JAMAICA
30137,-3,1,0,America/Jujuy,JUJUY
30138,-9,1,1,America/Juneau,JUNEAU
30139,-5,1,1,America/Kentucky/Louisville,LOUISVILLE
