ID,Timezone,DST Diff,DST Rule,Country,City,Name
0,0,0,0,,(UTC),(UTC)
1,0,1,0,Cote d'lvoire,Abidjan,ABIDJAN
2,4,1,0,United Arab Emirates,Abu Dhabi,ABU DHABI
3,0,1,0,Ghana,Accra,ACCRA
4,3,1,0,Ethiopia,Addis Ababa,ADDIS ABABA
5,9.5,1,4,Australia,Adelaide,ADELAIDE
6,1,1,0,Algeria,Algiers,ALGIERS
7,5,1,0,Kazakhstan,Almaty,ALMATY
8,9,1,0,Indonesia,Ambon,AMBON
9,3,1,0,Jordan,Amman,AMMAN
10,1,1,2,Netherlands,Amsterdam,AMSTERDAM
11,12,1,0,Russia,Anadyr,ANADYR
12,-9,1,1,United States,Anchorage,ANCHORAGE
13,3,1,0,Turkey,Ankara,ANKARA
14,3,1,0,Madagascar,Antananarivo,ANTANANARIVO
15,5,1,0,Turkmenistan,Ashgabat,ASHGABAT
16,3,1,0,Eritrea,Asmara,ASMARA
17,5,1,0,Kazakhstan,Astana,ASTANA
18,-4,1,9,Paraguay,Asuncion,ASUNCION
19,2,1,2,Greece,Athens,ATHENS
20,-5,1,1,United States,Atlanta,ATLANTA
21,12,1,5,New Zealand,Auckland,AUCKLAND
22,-6,1,1,United States,Austin,AUSTIN
23,3,1,0,Iraq,Baghdad,BAGHDAD
24,4,1,0,Azerbaijan,Baku,BAKU
25,-5,1,1,United States,Baltimore,BALTIMORE
26,0,1,0,Mali,Bamako,BAMAKO
27,5.5,1,0,India,Bangalore,BANGALORE
28,7,1,0,Thailand,Bangkok,BANGKOK
29,1,1,0,Central African Republic,Bangui,BANGUI
30,1,1,2,Spain,Barcelona,BARCELONA
31,1,1,2,Italy,Bari,BARI
32,-4,1,0,Guadeloupe,Basse-Terre,BASSE-TERRE
33,8,1,0,China,Beijing,BEIJING
34,2,1,12,Lebanon,Beirut,BEIRUT
35,1,1,2,Serbia,Belgrade,BELGRADE
36,-6,1,0,Belize,Belize City,BELIZE CITY
37,1,1,2,Germany,Berlin,BERLIN
38,1,1,2,Switzerland,Bern,BERN
39,6,1,0,Kyegyzstan,Bishkek,BISHKEK
40,0,1,0,Guinea Bissau,Bissau,BISSAU
41,-5,1,0,Colombia,Bogota,BOGOTA
42,1,1,2,Italy,Bologna,BOLOGNA
43,-5,1,1,United States,Boston,BOSTON
44,-3,1,0,Brazil,Brasilia,BRASILIA
